timestamp_unix,x,y,z
1788767526.860173,0.1495514214038849,3.231507062911988,9.4061861038208
1788767526.910587,3.0999016761779785,3.394218921661377,8.543573379516602
1788767526.960848,3.0999016761779785,3.394218921661377,8.543573379516602
1788767527.011415,0.6089733839035034,1.2023934125900269,10.717453002929688
1788767527.062225,0.6089733839035034,1.2023934125900269,10.717453002929688
1788767527.112569,-2.772084951400757,0.2727817893028259,8.196614265441895
1788767527.162983,-2.772084951400757,0.2727817893028259,8.196614265441895
1788767527.213192,-3.3619158267974854,0.2392822653055191,8.646464347839355
1788767527.263587,-3.3619158267974854,0.2392822653055191,8.646464347839355
1788767527.313938,-2.788834810256958,1.3076776266098022,7.168896675109863
1788767527.364554,1.025324463844299,2.506481647491455,9.857233047485352
1788767527.415290,1.025324463844299,2.506481647491455,9.857233047485352
1788767527.465523,2.1164517402648926,2.919243574142456,9.538987159729004
1788767527.516095,2.1164517402648926,2.919243574142456,9.538987159729004
1788767527.566288,2.093719720840454,3.034099102020264,9.075976371765137
1788767527.616498,2.093719720840454,3.034099102020264,9.075976371765137
1788767527.666851,2.0829520225524902,3.105883836746216,9.146564483642578
1788767527.717249,2.0829520225524902,3.105883836746216,9.146564483642578
1788767527.767452,2.147558212280273,3.1752755641937256,9.145368576049805
1788767527.818020,2.147558212280273,3.1752755641937256,9.145368576049805
1788767527.868194,2.0865414142608643,3.126222848892212,9.199206352233888
1788767527.918660,2.0865414142608643,3.126222848892212,9.199206352233888
1788767527.969029,2.231307029724121,2.4502503871917725,10.435099601745604
1788767528.019542,2.231307029724121,2.4502503871917725,10.435099601745604
1788767528.070115,1.968096613883972,2.8941190242767334,9.241081237792969
1788767528.126278,1.968096613883972,2.8941190242767334,9.241081237792969
1788767528.176962,1.3280165195465088,3.961317777633667,9.205188751220703
1788767528.227165,1.3280165195465088,3.961317777633667,9.205188751220703
1788767528.277637,1.6390835046768188,-0.5814558863639832,8.965906143188477
1788767528.328025,1.6390835046768188,-0.5814558863639832,8.965906143188477
1788767528.378153,1.6103696823120115,-0.6065805554389954,9.80219841003418
1788767528.428727,1.6103696823120115,-0.6065805554389954,9.80219841003418
1788767528.479245,1.597209095954895,-0.5934200286865234,9.832108497619627
1788767528.529845,1.597209095954895,-0.5934200286865234,9.832108497619627
1788767528.580046,1.5720844268798828,-0.5802595019340515,9.83928680419922
1788767528.630560,1.5720844268798828,-0.5802595019340515,9.83928680419922
1788767528.681078,1.5696916580200195,-0.589830756187439,9.844072341918944
1788767528.731726,1.568495273590088,-0.589830756187439,9.826126098632812
1788767528.782354,1.568495273590088,-0.589830756187439,9.826126098632812
1788767528.832754,1.566102385520935,-0.5670989751815796,9.83928680419922
1788767528.883197,1.557727575302124,-0.5706881880760193,9.836894035339355
1788767528.933380,1.557727575302124,-0.5706881880760193,9.836894035339355
1788767528.983871,1.5469598770141602,-0.5730810165405273,9.832108497619627
1788767529.034461,1.5469598770141602,-0.5730810165405273,9.832108497619627
1788767529.084743,1.5397813320159912,-0.5802595019340515,9.83091163635254
1788767529.135386,1.5397813320159912,-0.5802595019340515,9.83091163635254
1788767529.185713,1.5302101373672483,-0.5730810165405273,9.821340560913086
1788767529.235865,1.5302101373672483,-0.5730810165405273,9.821340560913086
1788767529.286415,1.5337992906570437,-0.5647061467170715,9.821340560913086
1788767529.337147,1.5337992906570437,-0.5647061467170715,9.821340560913086
1788767529.387935,1.5278172492980957,-0.5587241053581238,9.81655502319336
1788767529.438571,1.5278172492980957,-0.5587241053581238,9.81655502319336
1788767529.489015,1.5182459354400637,-0.5694918036460876,9.81535816192627
1788767529.539250,1.5182459354400637,-0.5694918036460876,9.81535816192627
1788767529.589557,1.5254244804382324,-0.5730810165405273,9.814162254333496
1788767529.640061,1.5254244804382324,-0.5730810165405273,9.814162254333496
1788767529.690564,1.5278172492980957,-0.5587241053581238,9.828518867492676
1788767529.740880,1.5278172492980957,-0.5587241053581238,9.828518867492676
